,50 keV,100 keV,200 keV,300 keV,500 keV,1 MeV,3 MeV,9.5 MeV
1.00E+09,1,1,1,1,1,1,1,1
2.00E+09,0.995,0.95,0.96,0.96,0.98,0.98,0.98,0.998
5.00E+09,0.97,0.88,0.89,0.91,0.94,0.95,0.97,0.997
1.00E+10,0.89,0.82,0.85,0.875,0.91,0.93,0.96,0.994
2.00E+10,0.79,0.75,0.79,0.83,0.88,0.905,0.95,0.989
5.00E+10,0.64,0.6,0.7,0.75,0.795,0.84,0.905,0.97
1.00E+11,0.51,0.47,0.62,0.66,0.72,0.795,0.87,0.95
2.00E+11,0.4,,0.52,0.58,0.65,0.72,0.82,0.905
5.00E+11,,,0.38,0.45,0.51,0.61,0.73,0.83
1.00E+12,,,,,0.42,0.52,0.64,0.76
2.00E+12,,,,,,0.42,0.56,0.68
5.00E+12,,,,,,,0.42,0.57
1.00E+13,,,,,,,,0.49
